Th1,FAR1,FRR1,Th2,FAR2,FRR2,Th3,FAR3,FRR3,Th4,FAR4,FRR4,Th5,FAR5,FRR5,Th6,FAR6,FRR6,Th7,FAR7,FRR7
,,,,,,,,,,,,,,,,,,-135,0.16861514,0.244239631
,,,,,,,,,,,,,,,,,,-134,0.167604821,0.244239631
,,,,,,,,,,,,,,,,,,-133,0.166883164,0.24577573
,,,,,,,,,,,,,,,,,,-132,0.16594501,0.247311828
,,,,,,,,,,,,,,,,,,-131,0.165115104,0.247311828
,,,,,,,,,,,,,,,,,,-130,0.16392437,0.247311828
,,,,,,,,,,,,,,,,,,-129,0.162589305,0.247311828
,,,,,,,,,,,,,,,,,,-128,0.161651151,0.247311828
,,,,,,,,,,,,,,,,,,-127,0.16100166,0.247311828
,,,,,,,,,,,,,,,,,,-126,0.160099589,0.248847926
,,,,,,,,,,,,,,,,,,-125,0.1592336,0.248847926
,,,,,,,,,,,,,,,,,,-124,0.157970701,0.248847926
,,,,,,,,,,,,,,,,,,-123,0.157032547,0.248847926
,,,,,,,,,,,,,,,,,,-122,0.156202641,0.248847926
,,,,,,,,,,,,,,,,,,-121,0.155336653,0.248847926
,,,,,,,,,,,,,,,,,,-120,0.154109836,0.248847926
,,,,,,,,,,,,,,,,,,-119,0.152883019,0.250384025
,,,,,,,,,,,,,,,,,,-118,0.151944865,0.250384025
,,,,,,,,,,,,,,,,,,-117,0.150826297,0.250384025
,,,,,,,,,,,,,,,,,,-116,0.149671646,0.251920123
,,,,,,,,,,,,,,,,,,-115,0.148156167,0.251920123
,,,,,,,,,,,,,,,,,,-114,0.14692935,0.25499232
,,,,,,,,,,,,,,,,,,-113,0.145810782,0.256528418
,,,,,,,,,,,,,,,,,,-112,0.144692213,0.256528418
,,,,,,,,,,,,,,,,,,-111,0.143176734,0.258064516
,,,,,,,,,,,,,,,,,,-110,0.14223858,0.258064516
,,,,,,,,,,,,,,,,,,-109,0.14148084,0.258064516
,,,,,,,,,,,,,,,,,,-108,0.140290106,0.258064516
,,,,,,,,,,,,,,,,,,-107,0.139063289,0.258064516
,,,,,,,,,,,,,,,,,,-106,0.138016887,0.258064516
,,,,,,,,,,,,,,,,,,-105,0.136826153,0.259600614
,,,,,,,,,,,,,,,,,,-104,0.135671502,0.259600614
,,,,,,,,,,,,,,,,,,-103,0.134949845,0.259600614
,,,,,,,,,,,,,,,,,,-102,0.134011691,0.259600614
,,,,,,,,,,,,,,,,,,-101,0.132676626,0.261136713
,,,,,,,,,,,,,,,,,,-100,0.131810637,0.261136713
,,,,,,,,,,,,,,,,,,-99,0.1308364,0.262672811
,,,,,,,,,,,,,,,,,,-98,0.129609584,0.264208909
,,,,,,,,,,,,,,,,,,-97,0.128021938,0.264208909
,,,,,,,,,,,,,,,,,,-96,0.126975536,0.265745008
,,,,,,,,,,,,,,,,,,-95,0.125856968,0.265745008
,,,,,,,,,,,,,,,,,,-94,0.124449737,0.270353303
,,,,,,,,,,,,,,,,,,-93,0.12372808,0.270353303
,,,,,,,,,,,,,,,,,,-92,0.122826009,0.270353303
,,,,,,,,,,,,,,,,,,-91,0.121671357,0.270353303
,,,,,,,,,,,,,,,,,,-90,0.120733203,0.270353303
,,,,,,,,,,,,,,,,,,-89,0.119253807,0.270353303
,,,,,,,,,,,,,,,,,,-88,0.118351736,0.270353303
,,,,,,,,,,,,,,,,,,-87,0.116872339,0.271889401
,,,,,,,,,,,,,,,,,,-86,0.115753771,0.271889401
,,,,,,,,,,,,,,,,,,-85,0.114779534,0.273425499
,,,,,,,,,,,,,,,,,,-84,0.113733131,0.274961598
,,,,,,,,,,,,,,,,,,-83,0.11257848,0.276497696
,,,,,,,,,,,,,,,,,,-82,0.111495995,0.279569892
,,,,,,,,,,,,,,,,,,-81,0.109872267,0.282642089
,,,,,,,,,,,,,,,,,,-80,0.109006278,0.282642089
,,,,,,,,,,,,,,,,,,-79,0.108032042,0.282642089
,,,,,,,,,,,,,,,,,,-78,0.106624811,0.282642089
,,,,,,,,,,,,,,,,,,-77,0.105181497,0.282642089
,,,,,,,,,,,,,,,,,,-76,0.104026846,0.282642089
,,,,,,,,,,,,,,,,,,-75,0.102800029,0.284178187
,,,,,,,,,,,,,,,,,,-74,0.101681461,0.284178187
,,,,,,,,,,,,,,,,,,-73,0.100202064,0.285714286
,,,,,,,,,,,,,,,,,,-72,0.098866999,0.287250384
,,,,,,,,,,,,,,,,,,-71,0.098037093,0.287250384
,,,,,,,,,,,,,,,,,,-70,0.097135022,0.287250384
,,,,,,,,,,,,,,,,,,-69,0.095799957,0.287250384
,,,,,,,,,,,,,,,,,,-68,0.094248394,0.287250384
,,,,,,,,,,,,,,,,,,-67,0.093418489,0.288786482
,,,,,,,,,,,,,,,,,,-66,0.092516418,0.291858679
,,,,,,,,,,,,,,,,,,-65,0.091361767,0.291858679
,,,,,,,,,,,,,,,,,,-64,0.090423613,0.293394777
,,,,,,,,,,,,,,,,,,-63,0.089413293,0.293394777
,,,,,,,,,,,,,,,,,,-62,0.088078228,0.293394777
,,,,,,,,,,,,,,,,,,-61,0.087140074,0.296466974
,,,,,,,,,,,,,,,,,,-60,0.085985423,0.298003072
,,,,,,,,,,,,,,,,,,-59,0.084578192,0.298003072
,,,,,,,,,,,,,,,,,,-58,0.083315292,0.298003072
,,,,,,,,,,,,,,,,,,-57,0.082052392,0.298003072
,,,,,,,,,,,,,,,,,,-56,0.08075341,0.299539171
,,,,,,,,,,,,,,,,,,-55,0.079779173,0.302611367
,,,,,,,,,,,,,,,,,,-54,0.078263693,0.304147465
,,,,,,,,,,,,,,,,,,-53,0.077181208,0.305683564
,,,,,,,,,,,,,,,,,,-52,0.07581006,0.305683564
,,,,,,,,,,,,,,,,,,-51,0.074763657,0.310291859
,,,,,,,,,,,,,,,,,,-50,0.073789421,0.311827957
,,,,,,,,,,,,,,,,,,-49,0.072887349,0.313364055
,,,,,,,,,,,,,,,,,,-48,0.07162445,0.313364055
,,,,,,,,,,,,,,,,,,-47,0.070541964,0.316436252
,,,,,,,,,,,,,,,,,,-46,0.069748142,0.316436252
,,,,,,,,,,,,,,,,,,-45,0.068413076,0.31797235
,,,,,,,,,,,,,,,,,,-44,0.067114094,0.31797235
,,,,,,,,,,,,,,,,,,-43,0.065995526,0.322580645
,,,,,,,,,,,,,,,,,,-42,0.06466046,0.324116743
,,,,,,,,,,,,,,,,,,-41,0.063433644,0.325652842
,,,,,,,,,,,,,,,,,,-40,0.062134661,0.328725038
,,,,,,,,,,,,,,,,,,-39,0.061052176,0.330261137
,,,,,,,,,,,,,,,,,,-38,0.060294436,0.331797235
,,,,,,,,,,,,,,,,,,-37,0.059428448,0.331797235
,,,,,,,,,,,,,,,,,,-36,0.058382045,0.331797235
,,,,,,,,,,,,,,,,,,-35,0.057263477,0.333333333
,,,,,,,,,,,,,,,,,,-34,0.056325323,0.333333333
,,,,,,,,,,,,,,,,,,-33,0.055062423,0.334869432
,,,,,,,,,,,,,,,,,,-32,0.053943855,0.334869432
,,,,,,,,,,,,,,,,,,-31,0.053150032,0.339477727
,,,,,,,,,,,,,,,,,,-30,0.051959299,0.341013825
,,,,,,,,,,,,,,,,,,-29,0.05109331,0.341013825
,,,,,,,,,,,,,,,,,,-28,0.050010825,0.34562212
,,,,,,,,,,,,,,,,,,-27,0.048351014,0.348694316
,,,,,,,,,,,,,,,,,,-26,0.047448943,0.350230415
,,,,,,,,,,,,,,,,,,-25,0.046366457,0.350230415
,,,,,,,,,,,,,,,,,,-24,0.045500469,0.359447005
,,,,,,,,,,,,,,,,,,-23,0.044345818,0.362519201
,,,,,,,,,,,,,,,,,,-22,0.043299415,0.365591398
,,,,,,,,,,,,,,,,,,-21,0.042433427,0.368663594
,,,,,,,,,,,,,,,,,,-20,0.041242693,0.370199693
,,,,,,,,,,,,,,,,,,-19,0.040232374,0.371735791
,,,,,,,,,,,,,,,,,,-18,0.03904164,0.373271889
,,,,,,,,,,,,,,,,,,-17,0.037923071,0.376344086
,,,,,,,,,,,,,,,,,,-16,0.036804503,0.376344086
,,,,,,,,,,,,,,,,,,-15,0.035722018,0.377880184
,,,,,,,,,,,,,,,,,,-14,0.034531284,0.379416283
,,,,,,,,,,,,,,,,,,-13,0.033412716,0.380952381
,,,,,,,,,,,,,,,,,,-12,0.032727142,0.384024578
,,,,,,,,,,,,,,,,,,-11,0.031247745,0.391705069
,,,,,,,,,,,,,,,,,,-10,0.030165259,0.391705069
,,,,,,,,,,,,,,,,,,-9,0.028974526,0.394777266
,,,,,,,,,,,,,,,,,,-8,0.028216786,0.399385561
,,,,,,,,,,,,,,,,,,-7,0.02738688,0.399385561
,,,,,,,,,,,,,,,,,,-6,0.026484809,0.400921659
