Th1,FAR1,FRR1,Th2,FAR2,FRR2,Th3,FAR3,FRR3,Th4,FAR4,FRR4,Th5,FAR5,FRR5,Th6,FAR6,FRR6,Th7,FAR7,FRR7,Th8,FAR8,FRR8
23,0.11163522,0.110213079,9,0,0.201626016,6,0.002774695,0.103375527,34,0.305216426,0.034810127,3,0.320080863,0.019181586,-5,0.13312369,0.051587302,8,0.12763596,0.009493671,68,0.356918239,0.014836795
24,0.104166667,0.11241734,10,0,0.255284553,7,0.000554939,0.127637131,35,0.295227525,0.034810127,4,0.317385445,0.019181586,-4,0.126834382,0.051587302,9,0.116537181,0.010548523,69,0.352201258,0.014836795
25,0.093553459,0.113886848,11,0,0.372357724,8,0,0.148734177,36,0.284683685,0.035864979,5,0.314016173,0.019181586,-3,0.113207547,0.051587302,10,0.105438402,0.011603376,70,0.349056604,0.014836795
26,0.087657233,0.114621602,,,,9,0,0.200421941,37,0.280799112,0.036919831,6,0.311320755,0.019181586,-2,0.102725367,0.055555556,11,0.095449501,0.012658228,71,0.347484277,0.014836795
27,0.079795597,0.120499633,,,,10,0,0.275316456,38,0.278579356,0.036919831,7,0.305256065,0.019181586,-1,0.094339623,0.057539683,12,0.085460599,0.015822785,72,0.344339623,0.014836795
28,0.066430818,0.124908156,,,,11,0,0.379746835,39,0.275804661,0.036919831,8,0.302560647,0.020460358,0,0.089098532,0.057539683,13,0.077691454,0.015822785,73,0.344339623,0.014836795
29,0.05581761,0.137398971,,,,,,,40,0.27136515,0.037974684,9,0.300539084,0.020460358,1,0.081761006,0.061507937,14,0.069922309,0.015822785,74,0.341194969,0.014836795
30,0.04677673,0.145481264,,,,,,,41,0.267480577,0.037974684,10,0.299865229,0.020460358,2,0.07442348,0.063492063,15,0.061598224,0.016877637,75,0.338050314,0.014836795
31,0.038128931,0.155767818,,,,,,,42,0.266370699,0.039029536,11,0.29851752,0.023017903,3,0.064989518,0.063492063,16,0.055493896,0.017932489,76,0.331761006,0.014836795
32,0.032232704,0.171932403,,,,,,,43,0.262486127,0.039029536,12,0.296495957,0.023017903,4,0.05870021,0.06547619,17,0.04772475,0.021097046,77,0.331761006,0.014836795
33,0.026336478,0.187362234,,,,,,,44,0.257491676,0.039029536,13,0.295822102,0.023017903,5,0.049266247,0.067460317,18,0.044950055,0.023206751,78,0.330188679,0.014836795
34,0.023191824,0.209404849,,,,,,,45,0.250277469,0.041139241,14,0.295148248,0.023017903,6,0.039832285,0.071428571,19,0.036071032,0.024261603,79,0.328616352,0.014836795
35,0.019261006,0.237325496,,,,,,,46,0.246947836,0.042194093,15,0.293126685,0.024296675,7,0.035639413,0.071428571,20,0.032186459,0.02742616,80,0.328616352,0.014836795
36,0.014937107,0.264511389,,,,,,,47,0.243618202,0.043248945,16,0.291778976,0.024296675,8,0.032494759,0.073412698,21,0.028856826,0.030590717,81,0.327044025,0.014836795
37,0.011399371,0.285084497,,,,,,,48,0.239733629,0.046413502,17,0.287735849,0.024296675,9,0.022012579,0.075396825,22,0.024417314,0.030590717,82,0.323899371,0.014836795
38,0.007861635,0.312270389,,,,,,,49,0.23418424,0.047468354,18,0.284366577,0.024296675,10,0.014675052,0.077380952,23,0.019422863,0.032700422,83,0.322327044,0.014836795
39,0.005896226,0.332843497,,,,,,,50,0.229189789,0.050632911,19,0.284366577,0.024296675,11,0.011530398,0.08531746,24,0.016648169,0.035864979,84,0.322327044,0.014836795
40,0.002358491,0.347538575,,,,,,,51,0.225860155,0.052742616,20,0.279649596,0.025575448,12,0.009433962,0.089285714,25,0.013318535,0.036919831,85,0.322327044,0.014836795
41,0.001179245,0.368111683,,,,,,,52,0.219755827,0.053797468,21,0.275606469,0.025575448,13,0.00524109,0.109126984,26,0.01054384,0.041139241,86,0.320754717,0.014836795
42,0.001179245,0.37913299,,,,,,,53,0.217536071,0.053797468,22,0.272237197,0.025575448,14,0.003144654,0.123015873,27,0.009988901,0.043248945,87,0.317610063,0.014836795
,,,,,,,,,54,0.21254162,0.053797468,23,0.268867925,0.02685422,15,0.001048218,0.162698413,28,0.008879023,0.047468354,88,0.317610063,0.014836795
,,,,,,,,,55,0.208102109,0.054852321,24,0.266172507,0.02685422,16,0,0.244047619,29,0.007769145,0.049578059,89,0.314465409,0.014836795
,,,,,,,,,56,0.202552719,0.055907173,25,0.262803235,0.02685422,17,0,0.35515873,30,0.006659267,0.05907173,90,0.314465409,0.014836795
,,,,,,,,,57,0.196448391,0.05907173,26,0.258760108,0.02685422,,,,31,0.00554939,0.067510549,91,0.312893082,0.014836795
,,,,,,,,,58,0.192008879,0.063291139,27,0.254716981,0.029411765,,,,32,0.004439512,0.071729958,92,0.312893082,0.017804154
,,,,,,,,,59,0.189234184,0.067510549,28,0.25,0.031969309,,,,33,0.003329634,0.082278481,93,0.308176101,0.017804154
,,,,,,,,,60,0.185349612,0.070675105,29,0.25,0.035805627,,,,34,0.003329634,0.097046414,94,0.306603774,0.017804154
,,,,,,,,,61,0.179800222,0.074894515,30,0.247978437,0.035805627,,,,35,0.001664817,0.110759494,95,0.306603774,0.017804154
,,,,,,,,,62,0.17536071,0.074894515,31,0.24393531,0.035805627,,,,36,0.001109878,0.122362869,96,0.306603774,0.017804154
,,,,,,,,,63,0.169811321,0.077004219,32,0.239892183,0.035805627,,,,37,0.001109878,0.135021097,97,0.303459119,0.017804154
,,,,,,,,,64,0.167591565,0.080168776,33,0.235849057,0.035805627,,,,38,0.000554939,0.142405063,98,0.300314465,0.017804154
,,,,,,,,,65,0.162597114,0.083333333,34,0.233153639,0.035805627,,,,39,0,0.169831224,99,0.297169811,0.017804154
,,,,,,,,,66,0.153718091,0.085443038,35,0.229784367,0.037084399,,,,40,0,0.196202532,100,0.289308176,0.020771513
,,,,,,,,,67,0.151498335,0.087552743,36,0.228436658,0.037084399,,,,41,0,0.216244726,101,0.287735849,0.020771513
,,,,,,,,,68,0.149278579,0.095991561,37,0.227088949,0.038363171,,,,42,0,0.26371308,102,0.283018868,0.023738872
,,,,,,,,,69,0.144284129,0.102320675,38,0.223045822,0.038363171,,,,43,0,0.308016878,103,0.278301887,0.023738872
,,,,,,,,,70,0.139844617,0.107594937,39,0.220350404,0.038363171,,,,44,0,0.352320675,104,0.278301887,0.023738872
,,,,,,,,,71,0.135405105,0.113924051,40,0.220350404,0.038363171,,,,45,0,0.39978903,105,0.278301887,0.023738872
,,,,,,,,,72,0.130410655,0.11814346,41,0.216981132,0.038363171,,,,,,,106,0.27672956,0.023738872
,,,,,,,,,73,0.125416204,0.129746835,42,0.212938005,0.038363171,,,,,,,107,0.273584906,0.023738872
,,,,,,,,,74,0.118756937,0.139240506,43,0.20754717,0.038363171,,,,,,,108,0.273584906,0.023738872
,,,,,,,,,75,0.112097669,0.144514768,44,0.204851752,0.039641944,,,,,,,109,0.272012579,0.023738872
,,,,,,,,,76,0.108768036,0.1592827,45,0.199460916,0.040920716,,,,,,,110,0.272012579,0.023738872
,,,,,,,,,77,0.102108768,0.170886076,46,0.197439353,0.040920716,,,,,,,111,0.270440252,0.023738872
,,,,,,,,,78,0.097114317,0.175105485,47,0.19541779,0.042199488,,,,,,,112,0.267295597,0.023738872
,,,,,,,,,79,0.089900111,0.187763713,48,0.192048518,0.044757033,,,,,,,113,0.267295597,0.023738872
,,,,,,,,,80,0.081576027,0.205696203,49,0.18328841,0.046035806,,,,,,,114,0.262578616,0.026706231
,,,,,,,,,81,0.077136515,0.214135021,50,0.178571429,0.04859335,,,,,,,115,0.262578616,0.026706231
,,,,,,,,,82,0.068257492,0.232067511,51,0.171832884,0.05370844,,,,,,,116,0.261006289,0.029673591
,,,,,,,,,83,0.064372919,0.247890295,52,0.17115903,0.05370844,,,,,,,117,0.257861635,0.03264095
,,,,,,,,,84,0.05826859,0.258438819,53,0.167789757,0.056265985,,,,,,,118,0.257861635,0.03264095
,,,,,,,,,85,0.052164262,0.271097046,54,0.161725067,0.058823529,,,,,,,119,0.256289308,0.03264095
,,,,,,,,,86,0.047169811,0.28164557,55,0.156334232,0.060102302,,,,,,,120,0.253144654,0.03264095
,,,,,,,,,87,0.045504994,0.297468354,56,0.153638814,0.061381074,,,,,,,121,0.251572327,0.03264095
,,,,,,,,,88,0.041620422,0.317510549,57,0.147574124,0.062659847,,,,,,,122,0.246855346,0.038575668
,,,,,,,,,89,0.038845727,0.332278481,58,0.143530997,0.066496164,,,,,,,123,0.245283019,0.038575668
,,,,,,,,,90,0.035516093,0.35021097,59,0.139487871,0.067774936,,,,,,,124,0.242138365,0.041543027
,,,,,,,,,91,0.033296337,0.374472574,60,0.137466307,0.069053708,,,,,,,125,0.242138365,0.053412463
,,,,,,,,,92,0.028301887,0.397679325,61,0.136118598,0.074168798,,,,,,,126,0.235849057,0.053412463
,,,,,,,,,,,,62,0.132075472,0.07544757,,,,,,,127,0.232704403,0.053412463
,,,,,,,,,,,,63,0.126010782,0.07544757,,,,,,,128,0.226415094,0.056379822
,,,,,,,,,,,,64,0.121293801,0.078005115,,,,,,,129,0.224842767,0.06231454
,,,,,,,,,,,,65,0.119272237,0.081841432,,,,,,,130,0.220125786,0.065281899
,,,,,,,,,,,,66,0.112533693,0.085677749,,,,,,,131,0.218553459,0.065281899
,,,,,,,,,,,,67,0.110512129,0.086956522,,,,,,,132,0.213836478,0.068249258
,,,,,,,,,,,,68,0.10916442,0.092071611,,,,,,,133,0.20754717,0.071216617
,,,,,,,,,,,,69,0.105795148,0.093350384,,,,,,,134,0.204402516,0.080118694
,,,,,,,,,,,,70,0.10309973,0.097186701,,,,,,,135,0.202830189,0.091988131
,,,,,,,,,,,,71,0.100404313,0.108695652,,,,,,,136,0.199685535,0.091988131
,,,,,,,,,,,,72,0.095687332,0.112531969,,,,,,,137,0.198113208,0.091988131
,,,,,,,,,,,,73,0.092318059,0.121483376,,,,,,,138,0.194968553,0.091988131
,,,,,,,,,,,,74,0.09097035,0.127877238,,,,,,,139,0.191823899,0.091988131
,,,,,,,,,,,,75,0.090296496,0.1342711,,,,,,,140,0.185534591,0.091988131
,,,,,,,,,,,,76,0.088274933,0.145780051,,,,,,,141,0.18081761,0.09495549
,,,,,,,,,,,,77,0.081536388,0.157289003,,,,,,,142,0.179245283,0.100890208
,,,,,,,,,,,,78,0.078167116,0.170076726,,,,,,,143,0.177672956,0.100890208
,,,,,,,,,,,,79,0.071428571,0.184143223,,,,,,,144,0.172955975,0.109792285
,,,,,,,,,,,,80,0.064016173,0.200767263,,,,,,,145,0.169811321,0.118694362
,,,,,,,,,,,,81,0.059299191,0.216112532,,,,,,,146,0.163522013,0.12462908
,,,,,,,,,,,,82,0.052560647,0.228900256,,,,,,,147,0.160377358,0.130563798
,,,,,,,,,,,,83,0.049191375,0.251918159,,,,,,,148,0.157232704,0.145400593
,,,,,,,,,,,,84,0.041778976,0.268542199,,,,,,,149,0.155660377,0.145400593
,,,,,,,,,,,,85,0.03638814,0.286445013,,,,,,,150,0.150943396,0.148367953
,,,,,,,,,,,,86,0.031671159,0.306905371,,,,,,,151,0.150943396,0.148367953
,,,,,,,,,,,,87,0.028975741,0.318414322,,,,,,,152,0.147798742,0.148367953
,,,,,,,,,,,,88,0.026280323,0.34398977,,,,,,,153,0.144654088,0.15727003
,,,,,,,,,,,,89,0.022911051,0.364450128,,,,,,,154,0.141509434,0.166172107
,,,,,,,,,,,,90,0.019541779,0.383631714,,,,,,,155,0.13836478,0.166172107
,,,,,,,,,,,,,,,,,,,,,156,0.135220126,0.169139466
,,,,,,,,,,,,,,,,,,,,,157,0.133647799,0.175074184
,,,,,,,,,,,,,,,,,,,,,158,0.132075472,0.192878338
,,,,,,,,,,,,,,,,,,,,,159,0.128930818,0.198813056
,,,,,,,,,,,,,,,,,,,,,160,0.127358491,0.21958457
,,,,,,,,,,,,,,,,,,,,,161,0.125786164,0.240356083
,,,,,,,,,,,,,,,,,,,,,162,0.124213836,0.243323442
,,,,,,,,,,,,,,,,,,,,,163,0.124213836,0.24925816
,,,,,,,,,,,,,,,,,,,,,164,0.119496855,0.252225519
,,,,,,,,,,,,,,,,,,,,,165,0.117924528,0.258160237
,,,,,,,,,,,,,,,,,,,,,166,0.110062893,0.270029674
,,,,,,,,,,,,,,,,,,,,,167,0.108490566,0.272997033
,,,,,,,,,,,,,,,,,,,,,168,0.105345912,0.284866469
,,,,,,,,,,,,,,,,,,,,,169,0.103773585,0.293768546
,,,,,,,,,,,,,,,,,,,,,170,0.099056604,0.299703264
,,,,,,,,,,,,,,,,,,,,,171,0.092767296,0.299703264
,,,,,,,,,,,,,,,,,,,,,172,0.086477987,0.3115727
,,,,,,,,,,,,,,,,,,,,,173,0.081761006,0.320474777
,,,,,,,,,,,,,,,,,,,,,174,0.075471698,0.335311573
,,,,,,,,,,,,,,,,,,,,,175,0.073899371,0.338278932
,,,,,,,,,,,,,,,,,,,,,176,0.072327044,0.34421365
,,,,,,,,,,,,,,,,,,,,,177,0.070754717,0.359050445
,,,,,,,,,,,,,,,,,,,,,178,0.070754717,0.362017804
,,,,,,,,,,,,,,,,,,,,,179,0.070754717,0.364985163
,,,,,,,,,,,,,,,,,,,,,180,0.06918239,0.379821958
,,,,,,,,,,,,,,,,,,,,,181,0.066037736,0.394658754
,,,,,,,,,,,,,,,,,,,,,182,0.062893082,0.397626113
