Th1,FAR1,FRR1,Th2,FAR2,FRR2,Th3,FAR3,FRR3,Th4,FAR4,FRR4,Th5,FAR5,FRR5,Th6,FAR6,FRR6,Th7,FAR7,FRR7,Th8,FAR8,FRR8
,,,,,,,,,,,,,,,,,,,,,-88,0.216203704,0.173228346
,,,,,,,,,,,,,,,,,,,,,-87,0.2125,0.177165354
,,,,,,,,,,,,,,,,,,,,,-86,0.207407407,0.179133858
,,,,,,,,,,,,,,,,,,,,,-85,0.201388889,0.184055118
,,,,,,,,,,,,,,,,,,,,,-84,0.198611111,0.187007874
,,,,,,,,,,,,,,,,,,,,,-83,0.193518519,0.188976378
,,,,,,,,,,,,,,,,,,,,,-82,0.191666667,0.193897638
,,,,,,,,,,,,,,,,,,,,,-81,0.187037037,0.198818898
,,,,,,,,,,,,,,,,,,,,,-80,0.182407407,0.204724409
,,,,,,,,,,,,,,,,,,,,,-79,0.180555556,0.206692913
,,,,,,,,,,,,,,,,,,,,,-78,0.173611111,0.214566929
,,,,,,,,,,,,,,,,,,,,,-77,0.168518519,0.218503937
,,,,,,,,,,,,,,,,,,,,,-76,0.16712963,0.223425197
,,,,,,,,,,,,,,,,,,,,,-75,0.1625,0.231299213
,,,,,,,,,,,,,,,,,,,,,-74,0.158333333,0.236220472
,,,,,,,,,,,,,,,,,,,,,-73,0.15462963,0.24015748
,,,,,,,,,,,,,,,,,,,,,-72,0.148148148,0.247047244
,,,,,,,,,,,,,,,,,,,,,-71,0.143518519,0.249015748
,,,,,,,,,,,,,,,,,,,,,-70,0.141203704,0.25492126
,,,,,,,,,,,,,,,,,,,,,-69,0.139351852,0.257874016
,,,,,,,,,,,,,,,,,,,,,-68,0.137962963,0.261811024
,,,,,,,,,,,,,,,,,,,,,-67,0.134259259,0.265748031
,,,,,,,,,,,,,,,,,,,,,-66,0.130555556,0.268700787
,,,,,,,,,,,,,,,,,,,,,-65,0.127777778,0.280511811
,,,,,,,,,,,,,,,,,,,,,-64,0.125,0.288385827
,,,,,,,,,,,,,,,,,,,,,-63,0.119444444,0.294291339
,,,,,,,,,,,,,,,,,,,,,-62,0.113425926,0.302165354
,,,,,,,,,,,,,,,,,,,,,-61,0.108333333,0.308070866
,,,,,,,,,,,,,,,,,,,,,-60,0.105555556,0.312007874
,,,,,,,,,,,,,,,,,,,,,-59,0.101388889,0.318897638
,,,,,,,,,,,,,,,,,,,,,-58,0.096759259,0.325787402
,,,,,,,,,,,,,,,,,,,,,-57,0.090277778,0.337598425
,,,,,,,,,,,,,,,,,,,,,-56,0.087037037,0.343503937
,,,,,,,,,,,,,,,,,,,,,-55,0.083796296,0.354330709
,,,,,,,,,,,,,,,,,,,,,-54,0.080555556,0.361220472
,,,,,,,,,,,,,,,,,,,,,-53,0.075462963,0.369094488
,,,,,,,,,,,,,,,,,,,,,-52,0.072685185,0.37992126
,,,,,,,,,,,,,,,,,,,,,-51,0.07037037,0.393700787
,,,,,,,,,,,,,,,,,,,,,-50,0.06712963,0.403543307
